game,day,CDA.ask.accepted.quantity,CDA.bid.accepted.quantity,CDA.ask.accepted.price.min,CDA.bid.accepted.price.min,CDA.ask.accepted.price.max,CDA.bid.accepted.price.max,CDA.ask.accepted.price.mean,CDA.bid.accepted.price.mean,CDA.ask.accepted.price.stdev,CDA.bid.accepted.price.stdev,CDA.transaction.quantity,CDA.transaction.price.min,CDA.transaction.price.max,CDA.transaction.price.mean,CDA.transaction.price.stdev
0,66,+10.000,+10.000,+97.354,+101.352,+121.023,+139.892,+102.706,+116.108,+6.255,+13.196,+10.000,+100.912,+130.458,+109.407,+9.004
0,67,+15.000,+15.000,+96.184,+97.676,+101.446,+160.165,+99.709,+119.681,+1.900,+23.927,+15.000,+96.930,+130.629,+109.695,+12.560
0,68,+11.000,+11.000,+99.984,+100.581,+102.783,+116.328,+101.668,+106.391,+0.913,+5.258,+11.000,+100.581,+109.343,+104.029,+2.773
0,69,+15.000,+15.000,+96.672,+102.442,+143.522,+161.667,+103.853,+127.643,+10.786,+20.524,+15.000,+101.433,+144.952,+115.748,+12.504
0,70,+17.000,+17.000,+98.078,+98.112,+109.128,+156.459,+101.752,+112.190,+2.639,+16.827,+17.000,+98.095,+129.408,+106.971,+8.606
0,71,+16.000,+16.000,+96.745,+98.181,+105.137,+145.108,+101.412,+109.671,+2.665,+13.232,+16.000,+97.463,+123.775,+105.542,+7.530
0,72,+15.000,+15.000,+97.794,+100.444,+132.968,+178.595,+105.621,+127.636,+8.105,+32.448,+15.000,+99.610,+155.781,+116.628,+19.048
0,73,+4.000,+4.000,+95.776,+100.434,+97.870,+122.448,+97.137,+115.994,+0.817,+9.102,+4.000,+99.045,+110.085,+106.566,+4.479
0,74,+12.000,+12.000,+97.515,+101.199,+102.545,+104.564,+100.978,+102.414,+1.428,+0.981,+12.000,+99.615,+103.400,+101.696,+1.067
0,75,+16.000,+16.000,+97.478,+98.466,+105.137,+126.087,+101.017,+108.136,+1.806,+8.968,+16.000,+97.972,+114.241,+104.577,+4.920
0,76,+12.000,+12.000,+97.421,+102.051,+104.144,+123.927,+100.148,+109.865,+1.758,+8.484,+12.000,+100.713,+113.699,+105.007,+4.569
